iter	MultiClass
0	0.3889013911
1	0.2195300267
2	0.1160198755
3	0.06941222949
4	0.04316437647
5	0.02812690025
6	0.01699169419
7	0.01168440139
8	0.007216292261
9	0.004473925782
10	0.002895925571
11	0.001972243662
12	0.001432155388
13	0.001032512536
14	0.0007730053097
15	0.0006446738541
16	0.000511637523
17	0.0003854155491
18	0.0003153043879
19	0.0002661783886
20	0.0002246826094
21	0.000193461555
22	0.0001756293772
23	0.0001594841538
24	0.0001454133
25	0.0001368434731
26	0.0001283424805
27	0.0001211016055
28	0.0001147918748
29	0.000109241196
30	0.0001043040475
31	9.989573684e-05
32	9.592026315e-05
33	9.232557885e-05
34	8.905148082e-05
35	8.605368406e-05
36	8.32964729e-05
37	8.075012057e-05
38	7.838968533e-05
39	7.619408421e-05
40	7.414537299e-05
41	7.222818094e-05
42	7.042926327e-05
43	6.873714357e-05
44	6.714182604e-05
45	6.563456215e-05
46	6.420731601e-05
47	6.285400492e-05
48	6.156824099e-05
49	6.034466625e-05
50	5.91782284e-05
51	5.806518862e-05
52	5.653635407e-05
53	5.553378975e-05
54	5.415835681e-05
55	5.324922674e-05
56	5.237578005e-05
57	5.153578181e-05
58	5.072718779e-05
59	4.994827037e-05
60	4.919700745e-05
61	4.847210174e-05
62	4.744810449e-05
63	4.647787769e-05
64	4.583934508e-05
65	4.522105211e-05
66	4.462187632e-05
67	4.404097548e-05
68	4.347755253e-05
69	4.293068002e-05
70	4.215133065e-05
71	4.140027377e-05
72	4.090940286e-05
73	4.043183511e-05
74	3.996706497e-05
75	3.951448089e-05
76	3.907357563e-05
77	3.86438108e-05
78	3.822479974e-05
79	3.781611565e-05
80	3.741735496e-05
81	3.683693438e-05
82	3.646061794e-05
83	3.609305567e-05
84	3.555701291e-05
85	3.520916802e-05
86	3.4869013e-05
87	3.453627912e-05
88	3.421074835e-05
89	3.389209987e-05
90	3.358014052e-05
91	3.32746486e-05
92	3.297541247e-05
93	3.26822619e-05
94	3.239496975e-05
95	3.211332133e-05
96	3.183717193e-05
97	3.156638044e-05
98	3.130072759e-05
99	3.090556564e-05
